location,date,new_cases
Canada,2020-04-04T00:00:00Z,1347
Canada,2020-04-05T00:00:00Z,1569
Canada,2020-04-06T00:00:00Z,1046
Canada,2020-04-07T00:00:00Z,1337
Canada,2020-04-08T00:00:00Z,1264
Canada,2020-04-09T00:00:00Z,1380
Canada,2020-04-10T00:00:00Z,1275
Canada,2020-04-11T00:00:00Z,1307
Canada,2020-04-12T00:00:00Z,1219
Canada,2020-04-13T00:00:00Z,1634
Canada,2020-04-14T00:00:00Z,1626
France,2020-04-04T00:00:00Z,-17076
France,2020-04-05T00:00:00Z,NA
France,2020-04-06T00:00:00Z,2658
France,2020-04-07T00:00:00Z,-3494
France,2020-04-08T00:00:00Z,3851
France,2020-04-09T00:00:00Z,3784
France,2020-04-10T00:00:00Z,1566
France,2020-04-11T00:00:00Z,1445
France,2020-04-12T00:00:00Z,50745
France,2020-04-13T00:00:00Z,3139
France,2020-04-14T00:00:00Z,17448
India,2020-04-04T00:00:00Z,515
India,2020-04-05T00:00:00Z,506
India,2020-04-06T00:00:00Z,1190
India,2020-04-07T00:00:00Z,533
India,2020-04-08T00:00:00Z,605
India,2020-04-09T00:00:00Z,809
India,2020-04-10T00:00:00Z,873
India,2020-04-11T00:00:00Z,848
India,2020-04-12T00:00:00Z,759
India,2020-04-13T00:00:00Z,1248
India,2020-04-14T00:00:00Z,1034
South Korea,2020-04-04T00:00:00Z,94
South Korea,2020-04-05T00:00:00Z,81
South Korea,2020-04-06T00:00:00Z,47
South Korea,2020-04-07T00:00:00Z,47
South Korea,2020-04-08T00:00:00Z,53
South Korea,2020-04-09T00:00:00Z,39
South Korea,2020-04-10T00:00:00Z,27
South Korea,2020-04-11T00:00:00Z,30
South Korea,2020-04-12T00:00:00Z,32
South Korea,2020-04-13T00:00:00Z,25
South Korea,2020-04-14T00:00:00Z,27
United Kingdom,2020-04-04T00:00:00Z,4050
United Kingdom,2020-04-05T00:00:00Z,3641
United Kingdom,2020-04-06T00:00:00Z,5289
United Kingdom,2020-04-07T00:00:00Z,5462
United Kingdom,2020-04-08T00:00:00Z,5145
United Kingdom,2020-04-09T00:00:00Z,4862
United Kingdom,2020-04-10T00:00:00Z,4352
United Kingdom,2020-04-11T00:00:00Z,3586
United Kingdom,2020-04-12T00:00:00Z,3519
United Kingdom,2020-04-13T00:00:00Z,4188
United Kingdom,2020-04-14T00:00:00Z,4329
